NOME DO MUNICÍPIO,POPULAÇÃO
Manduri,9852
Marabá Paulista,4531
Maracaí,12700
Marapoama,3295
Mariápolis,3450
Marília,238605
Marinópolis,1889
Martinópolis,24896
Matão,77149
Mauá,383280
Mendonça,6170
Meridiano,4545
Mesópolis,1930
Miguelópolis,19119
Mineiros do Tietê,11233
Miracatu,20234
Mira Estrela,3075
Mirandópolis,27936
Mirante do Paranapanema,15482
Mirassol,63555
Mirassolândia,4605
Mococa,65469
Mogi das Cruzes,471602
Mogi Guaçu,154487
Mogi Mirim,90997
Mombuca,3724
Monções,1948
Mongaguá,61062
Monte Alegre do Sul,8057
Monte Alto,47478
Monte Aprazível,21470
Monte Azul Paulista,18152
Monte Castelo,4219
Monteiro Lobato,4127
Monte Mor,68781
Morro Agudo,26806
Morungaba,14590
Motuca,4034
Murutinga do Sul,3675
Nantes,2627
Narandiba,5703
Natividade da Serra,6963
Nazaré Paulista,21214
Neves Paulista,9719
Nhandeara,9670
Nipoã,4756
Nova Aliança,6712
Nova Campina,8445
Nova Canaã Paulista,2031
Nova Castilho,1059
Nova Europa,9638
Nova Granada,19358
Nova Guataporanga,2151
Nova Independência,4619
Novais,4410
Nova Luzitânia,2837
Nova Odessa,61935
Novo Horizonte,38539
Nuporanga,7370
Ocauçu,4329
Óleo,2508
Olímpia,56037
Onda Verde,4770
Oriente,6073
Orindiúva,6022
Orlândia,37916
Osasco,777048
Oscar Bressane,2475
Osvaldo Cruz,31222
Ourinhos,108678
Ouroeste,10288
Ouro Verde,7766
Pacaembu,12682
Palestina,11259
Palmares Paulista,9475
Palmeira d'Oeste,8904
Palmital,19559
Panorama,14942
Paraguaçu Paulista,41062
Paraibuna,18107
Paraíso,6099
Paranapanema,19412
Paranapuã,4044
Parapuã,10577
Pardinho,7107
Pariquera-Açu,19260
Parisi,2895
Patrocínio Paulista,14527
Paulicéia,7944
Paulínia,115870
Paulistânia,2098
Paulo de Faria,7416
Pederneiras,43897
Pedra Bela,6558
Pedranópolis,2774
Pedregulho,15580
Pedreira,43084
Pedrinhas Paulista,2790
Pedro de Toledo,11387
Penápolis,62093
Pereira Barreto,23871
Pereiras,9520
Peruíbe,69321
Piacatu,5511
Piedade,51542
Pilar do Sul,29785
Pindamonhangaba,164932
Pindorama,14590
Pinhalzinho,14971
Piquerobi,3267
Piquete,12597
Piracaia,29876
Piracicaba,434432
Piraju,29027
Pirajuí,22451
Pirangi,10885
Pirapora do Bom Jesus,20578
Pirapozinho,25376
Pirassununga,73436
Piratininga,15120
Pitangueiras,33731
Planalto,4392
Platina,2990
Poá,109450
Poloni,5592
Pompéia,20171
Pongaí,3395
Pontal,37526
Pontalinda,4129
